No,Period,CPI,Gold Reserve,Interest rate (12-24 month),M2 
1,6-2025,19.50%,829.74,6.10%,19184708.73
2,5-2025,18.93%,824.70,6.00%,18973143.00
3,4-2025,18.74%,819.53,6.00%,18721571.00
4,3-2025,18.66%,812.39,6.00%,18450042.00
5,2-2025,18.69%,800.85,6.00%,18157191.00
6,1-2025,18.29%,898.54,5.90%,18176926.00
7,12-2024,17.14%,848.90,5.90%,17914566.00
8,11-2024,16.80%,858.11,6.00%,17301843.00
9,10-2024,16.65%,907.53,6.00%,17107320.00
10,9-2024,16.27%,866.89,6.00%,16949072.00
11,8-2024,15.94%,819.73,6.10%,16658293.00
12,7-2024,15.94%,766.89,6.20%,16401397.00
13,6-2024,15.39%,732.83,6.40%,16513106.00
14,5-2024,15.20%,764.20,6.60%,16130057.00
15,4-2024,15.14%,757.50,6.90%,16019364.00
16,3-2024,15.06%,726.67,7.20%,16012915.00
17,2-2024,15.33%,662.37,7.50%,15914067.00
18,1-2024,14.14%,662.84,7.80%,15999293.00
19,12-2023,13.79%,671.40,8.10%,15998956.00
20,11-2023,13.66%,666.03,8.30%,15354119.00
21,10-2023,13.38%,649.45,8.40%,15074263.00
22,9-2023,13.28%,607.37,8.50%,15026012.00
23,8-2023,12.07%,633.47,8.50%,14801154.00
24,7-2023,11.09%,636.70,8.50%,14640943.00
25,6-2023,10.59%,621.50,8.20%,14754221.00
26,5-2023,10.30%,637.63,8.20%,14517832.00
27,4-2023,10.29%,646.49,8.00%,14470593.00
28,3-2023,10.67%,644.51,7.90%,14415021.00
29,2-2023,10.92%,591.48,7.70%,14272184.00
30,1-2023,10.42%,625.81,7.60%,14339502.00
31,12-2022,9.85%,591.40,7.40%,14226792.00
32,11-2022,9.87%,569.61,7.00%,13878503.00
33,10-2022,9.44%,534.76,6.80%,13815145.00
34,9-2022,9.29%,541.49,6.70%,13832397.00
35,8-2022,8.85%,561.08,6.60%,13761019.00
36,7-2022,8.85%,571.53,6.60%,13828044.00
37,6-2022,8.42%,592.33,6.50%,13908338.00
38,5-2022,7.68%,601.32,6.50%,13848264.00
39,4-2022,7.28%,618.90,6.40%,13871751.00
40,3-2022,7.08%,628.44,6.50%,13864061.00
41,2-2022,6.33%,624.16,6.50%,13644750.00
42,1-2022,5.28%,584.87,6.50%,13748740.00
43,12-2021,5.08%,591.38,6.50%,13402097.00
44,11-2021,5.27%,580.94,6.60%,13040842.00
45,10-2021,4.93%,585.65,6.70%,12907567.00
46,9-2021,5.14%,563.07,6.80%,12879090.00
47,8-2021,5.79%,589.50,6.80%,12757648.00
48,7-2021,5.53%,594.90,6.70%,12692256.00
49,6-2021,4.88%,573.23,6.70%,12647703.00
50,5-2021,4.68%,619.80,6.70%,12558573.00
51,4-2021,4.52%,581.10,6.70%,12465012.00
52,3-2021,4.56%,548.16,6.70%,12349750.00
53,2-2021,4.84%,576.33,6.80%,12228211.00
54,1-2021,3.27%,599.60,6.80%,12202217.00
55,12-2020,3.21%,618.01,6.80%,12110606.00
56,11-2020,3.10%,580.80,6.90%,11730140.00
57,10-2020,3.11%,608.00,7.00%,11556445.00
58,9-2020,3.02%,616.69,7.10%,11485845.00
59,8-2020,2.89%,640.71,7.30%,11315994.00
60,7-2020,16.43%,641.01,7.30%,11163361.00
61,6-2020,15.96%,574.00,7.40%,11118423.00
62,5-2020,15.20%,560.10,7.40%,10928485.00
63,4-2020,15.24%,556.40,7.40%,10779851.00
64,3-2020,17.05%,525.10,7.40%,10755572.00
65,2-2020,17.89%,534.20,7.50%,10672880.00
66,1-2020,18.09%,511.40,7.50%,10758024.00
67,12-2019,16.65%,475.20,7.50%,10573725.00
68,11-2019,15.04%,474.00,7.50%,10274960.00
69,10-2019,13.94%,487.30,7.50%,10138630.00
70,9-2019,13.28%,486.60,7.50%,10083735.00
71,8-2019,12.92%,496.10,7.50%,9949135.00
72,7-2019,12.61%,465.40,7.30%,9860081.00
73,6-2019,12.41%,459.70,7.30%,9866484.00
74,5-2019,12.51%,420.70,7.30%,9706888.00
75,4-2019,11.96%,416.20,7.30%,9546608.00
76,3-2019,11.61%,420.10,7.30%,9478157.00
77,2-2019,11.85%,430.00,7.30%,9376631.00
78,1-2019,10.96%,429.20,7.30%,9488086.00
79,12-2018,10.85%,415.40,7.30%,9211848.00
80,11-2018,11.13%,398.45,7.30%,9061689.00
81,10-2018,11.45%,396.14,7.30%,8999033.00
82,9-2018,11.08%,385.20,7.30%,8933435.00
83,8-2018,10.43%,390.45,7.30%,8888384.00
84,7-2018,9.93%,397.37,7.30%,8842552.00
85,6-2018,10.03%,405.93,7.30%,8879582.00
86,5-2018,9.36%,424.21,7.30%,8757588.00
87,4-2018,8.77%,428.51,7.30%,8661255.00
88,3-2018,8.68%,430.98,7.30%,8521098.00
89,2-2018,8.97%,428.72,7.30%,8401534.00
90,1-2018,8.18%,435.66,7.30%,8296475.00
91,12-2017,7.64%,421.74,7.30%,8194708.00
92,11-2017,7.41%,418.25,7.22%,8062576.00
93,10-2017,7.27%,415.35,7.20%,7901462.00
94,9-2017,6.83%,418.68,7.20%,7877753.00
95,8-2017,6.20%,424.92,7.20%,7762372.00
96,7-2017,5.24%,413.05,7.20%,7668850.00
97,6-2017,5.12%,405.98,7.20%,7616856.00
98,5-2017,5.30%,410.21,7.20%,7466760.00
99,4-2017,5.86%,411.35,7.20%,7403116.00
100,3-2017,5.86%,403.90,7.20%,7374307.00
101,2-2017,5.64%,407.79,7.21%,7252377.00
102,1-2017,5.39%,393.34,7.21%,7308746.00
103,12-2016,4.91%,378.29,7.20%,7125801.00
104,11-2016,4.67%,387.37,7.20%,6971061.00
105,10-2016,4.17%,415.52,7.20%,6863455.00
106,9-2016,3.31%,430.99,7.20%,6829893.00
107,8-2016,2.76%,426.52,7.21%,6682211.00
108,7-2016,2.65%,435.11,7.20%,6609446.00
109,6-2016,2.52%,428.31,7.20%,6592394.00
110,5-2016,2.05%,394.26,7.20%,6427397.00
111,4-2016,1.50%,412.62,7.20%,6326334.00
112,3-2016,1.16%,398.98,7.20%,6267958.00
113,2-2016,0.59%,398.17,7.26%,6138610.00
114,1-2016,0.17%,362.98,7.20%,6107942.00
115,12-2015,59.51%,365.63,7.20%,6019609.00
116,11-2015,59.49%,365.63,7.20%,5809442.00
117,10-2015,59.37%,343.38,7.20%,5722963.00
118,9-2015,59.20%,373.12,7.20%,5695769.00
119,8-2015,59.53%,366.92,7.20%,5591611.00
120,7-2015,59.65%,369.20,7.20%,5505640.00
121,6-2015,59.44%,353.05,7.20%,5492731.00
122,5-2015,58.88%,386.65,7.20%,5376435.00
123,4-2015,58.63%,383.84,7.20%,5328232.00
124,3-2015,58.41%,386.19,7.20%,5300817.00
125,2-2015,58.17%,393.64,7.97%,5308012.00
126,1-2015,58.25%,416.13,7.30%,5192194.00
127,12-2014,58.57%,385.80,7.50%,5179216.00
128,11-2014,58.95%,390.17,7.50%,4973579.00
129,10-2014,59.38%,395.21,7.50%,4887877.00
